,code_module,code_presentation,id_assessment,assessment_type,date,weight,combination_course_key
108,DDD,2014J,25368,Exam,,100.0,DDD2014J
109,EEE,2013J,30709,TMA,33.0,16.0,EEE2013J
110,EEE,2013J,30710,TMA,68.0,28.0,EEE2013J
111,EEE,2013J,30711,TMA,124.0,28.0,EEE2013J
112,EEE,2013J,30712,TMA,159.0,28.0,EEE2013J
113,EEE,2013J,30713,Exam,235.0,100.0,EEE2013J
114,EEE,2014B,30714,TMA,33.0,16.0,EEE2014B
115,EEE,2014B,30715,TMA,68.0,28.0,EEE2014B
116,EEE,2014B,30716,TMA,117.0,28.0,EEE2014B
117,EEE,2014B,30717,TMA,152.0,28.0,EEE2014B
118,EEE,2014B,30718,Exam,228.0,100.0,EEE2014B
119,EEE,2014J,30719,TMA,33.0,16.0,EEE2014J
120,EEE,2014J,30720,TMA,68.0,28.0,EEE2014J
121,EEE,2014J,30721,TMA,131.0,28.0,EEE2014J
122,EEE,2014J,30722,TMA,166.0,28.0,EEE2014J
123,EEE,2014J,30723,Exam,235.0,100.0,EEE2014J
124,FFF,2013B,34865,CMA,222.0,0.0,FFF2013B
125,FFF,2013B,34866,CMA,222.0,0.0,FFF2013B
126,FFF,2013B,34867,CMA,222.0,0.0,FFF2013B
127,FFF,2013B,34868,CMA,222.0,0.0,FFF2013B
128,FFF,2013B,34869,CMA,222.0,0.0,FFF2013B
129,FFF,2013B,34871,CMA,222.0,0.0,FFF2013B
130,FFF,2013B,34870,CMA,222.0,0.0,FFF2013B
131,FFF,2013B,34860,TMA,19.0,12.5,FFF2013B
132,FFF,2013B,34861,TMA,47.0,12.5,FFF2013B
133,FFF,2013B,34862,TMA,89.0,25.0,FFF2013B
134,FFF,2013B,34863,TMA,131.0,25.0,FFF2013B
135,FFF,2013B,34864,TMA,166.0,25.0,FFF2013B
136,FFF,2013B,34872,Exam,222.0,100.0,FFF2013B
137,FFF,2013J,34878,CMA,236.0,0.0,FFF2013J
138,FFF,2013J,34879,CMA,236.0,0.0,FFF2013J
139,FFF,2013J,34880,CMA,236.0,0.0,FFF2013J
140,FFF,2013J,34881,CMA,236.0,0.0,FFF2013J
141,FFF,2013J,34882,CMA,236.0,0.0,FFF2013J
142,FFF,2013J,34884,CMA,236.0,0.0,FFF2013J
143,FFF,2013J,34883,CMA,236.0,0.0,FFF2013J
144,FFF,2013J,34873,TMA,19.0,12.5,FFF2013J
145,FFF,2013J,34874,TMA,47.0,12.5,FFF2013J
146,FFF,2013J,34875,TMA,96.0,25.0,FFF2013J
147,FFF,2013J,34876,TMA,131.0,25.0,FFF2013J
148,FFF,2013J,34877,TMA,173.0,25.0,FFF2013J
149,FFF,2013J,34885,Exam,236.0,100.0,FFF2013J
150,FFF,2014B,34891,CMA,227.0,0.0,FFF2014B
151,FFF,2014B,34892,CMA,227.0,0.0,FFF2014B
152,FFF,2014B,34893,CMA,227.0,0.0,FFF2014B
153,FFF,2014B,34894,CMA,227.0,0.0,FFF2014B
154,FFF,2014B,34895,CMA,227.0,0.0,FFF2014B
155,FFF,2014B,34897,CMA,227.0,0.0,FFF2014B
156,FFF,2014B,34896,CMA,227.0,0.0,FFF2014B
157,FFF,2014B,34886,TMA,24.0,12.5,FFF2014B
158,FFF,2014B,34887,TMA,52.0,12.5,FFF2014B
159,FFF,2014B,34888,TMA,87.0,25.0,FFF2014B
160,FFF,2014B,34889,TMA,129.0,25.0,FFF2014B
161,FFF,2014B,34890,TMA,171.0,25.0,FFF2014B
162,FFF,2014B,34898,Exam,227.0,100.0,FFF2014B
163,FFF,2014J,34904,CMA,241.0,0.0,FFF2014J
164,FFF,2014J,34905,CMA,241.0,0.0,FFF2014J
165,FFF,2014J,34906,CMA,241.0,0.0,FFF2014J
166,FFF,2014J,34907,CMA,241.0,0.0,FFF2014J
167,FFF,2014J,34908,CMA,241.0,0.0,FFF2014J
168,FFF,2014J,34910,CMA,241.0,0.0,FFF2014J
169,FFF,2014J,34909,CMA,241.0,0.0,FFF2014J
170,FFF,2014J,34899,TMA,24.0,12.5,FFF2014J
171,FFF,2014J,34900,TMA,52.0,12.5,FFF2014J
172,FFF,2014J,34901,TMA,94.0,25.0,FFF2014J
173,FFF,2014J,34902,TMA,136.0,25.0,FFF2014J
174,FFF,2014J,34903,TMA,199.0,25.0,FFF2014J
175,FFF,2014J,34911,Exam,241.0,100.0,FFF2014J
176,GGG,2013J,37418,CMA,229.0,0.0,GGG2013J
177,GGG,2013J,37419,CMA,229.0,0.0,GGG2013J
178,GGG,2013J,37420,CMA,229.0,0.0,GGG2013J
179,GGG,2013J,37421,CMA,229.0,0.0,GGG2013J
180,GGG,2013J,37422,CMA,229.0,0.0,GGG2013J
181,GGG,2013J,37423,CMA,229.0,0.0,GGG2013J
182,GGG,2013J,37415,TMA,61.0,0.0,GGG2013J
183,GGG,2013J,37416,TMA,124.0,0.0,GGG2013J
184,GGG,2013J,37417,TMA,173.0,0.0,GGG2013J
185,GGG,2013J,37424,Exam,229.0,100.0,GGG2013J
186,GGG,2014B,37428,CMA,222.0,0.0,GGG2014B
187,GGG,2014B,37429,CMA,222.0,0.0,GGG2014B
188,GGG,2014B,37430,CMA,222.0,0.0,GGG2014B
189,GGG,2014B,37431,CMA,222.0,0.0,GGG2014B
190,GGG,2014B,37432,CMA,222.0,0.0,GGG2014B
191,GGG,2014B,37433,CMA,222.0,0.0,GGG2014B
192,GGG,2014B,37425,TMA,61.0,0.0,GGG2014B
193,GGG,2014B,37426,TMA,117.0,0.0,GGG2014B
194,GGG,2014B,37427,TMA,166.0,0.0,GGG2014B
195,GGG,2014B,37434,Exam,222.0,100.0,GGG2014B
196,GGG,2014J,37438,CMA,229.0,0.0,GGG2014J
197,GGG,2014J,37439,CMA,229.0,0.0,GGG2014J
198,GGG,2014J,37440,CMA,229.0,0.0,GGG2014J
199,GGG,2014J,37441,CMA,229.0,0.0,GGG2014J
200,GGG,2014J,37442,CMA,229.0,0.0,GGG2014J
201,GGG,2014J,37443,CMA,229.0,0.0,GGG2014J
202,GGG,2014J,37435,TMA,61.0,0.0,GGG2014J
203,GGG,2014J,37436,TMA,124.0,0.0,GGG2014J
204,GGG,2014J,37437,TMA,173.0,0.0,GGG2014J
205,GGG,2014J,37444,Exam,229.0,100.0,GGG2014J
