,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,combination_course_key,course_student_combination_key,date_registration,date_unregistration
14,AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,AAA2013J,AAA2013J63400,-67.0,
15,AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,AAA2013J,AAA2013J65002,-180.0,96.0
16,AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,AAA2013J,AAA2013J70464,-95.0,
17,AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,AAA2013J,AAA2013J71361,-130.0,
18,AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,AAA2013J,AAA2013J74372,-50.0,
19,AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,AAA2013J,AAA2013J75091,-107.0,
20,AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,AAA2013J,AAA2013J77367,-27.0,
21,AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,AAA2013J,AAA2013J91265,-31.0,
22,AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,AAA2013J,AAA2013J94961,-170.0,72.0
23,AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,AAA2013J,AAA2013J98094,-107.0,
24,AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,AAA2013J,AAA2013J100893,-62.0,
25,AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,AAA2013J,AAA2013J101781,-103.0,
26,AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,AAA2013J,AAA2013J102806,-107.0,
27,AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,AAA2013J,AAA2013J102952,-100.0,
28,AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,AAA2013J,AAA2013J104476,-109.0,
29,AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,AAA2013J,AAA2013J106247,5.0,175.0
30,AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,AAA2013J,AAA2013J106577,-107.0,
31,AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,AAA2013J,AAA2013J110175,-110.0,
32,AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,AAA2013J,AAA2013J111717,-43.0,
33,AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,AAA2013J,AAA2013J113295,-26.0,
34,AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,AAA2013J,AAA2013J114017,-29.0,
35,AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,AAA2013J,AAA2013J114999,-68.0,
36,AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,AAA2013J,AAA2013J116541,-68.0,
37,AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,AAA2013J,AAA2013J116692,-32.0,
38,AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,AAA2013J,AAA2013J118983,-99.0,
39,AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,AAA2013J,AAA2013J123044,-82.0,
40,AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,AAA2013J,AAA2013J127582,-31.0,
41,AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,AAA2013J,AAA2013J129955,-197.0,135.0
42,AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,AAA2013J,AAA2013J132976,-75.0,
43,AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,AAA2013J,AAA2013J134143,-96.0,
44,AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,AAA2013J,AAA2013J135335,-29.0,30.0
45,AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,AAA2013J,AAA2013J135400,-32.0,144.0
46,AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,AAA2013J,AAA2013J137873,-195.0,
47,AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,AAA2013J,AAA2013J141355,-61.0,
48,AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,AAA2013J,AAA2013J141377,-110.0,129.0
49,AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,AAA2013J,AAA2013J142326,-37.0,
50,AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,AAA2013J,AAA2013J144801,-67.0,
51,AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,AAA2013J,AAA2013J145130,-36.0,
52,AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,AAA2013J,AAA2013J146188,-132.0,
53,AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,AAA2013J,AAA2013J147756,-92.0,
54,AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,AAA2013J,AAA2013J147793,-138.0,58.0
55,AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,AAA2013J,AAA2013J148993,-174.0,158.0
56,AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,AAA2013J,AAA2013J151358,-44.0,
57,AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,AAA2013J,AAA2013J155550,-16.0,
58,AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,AAA2013J,AAA2013J155854,-54.0,
59,AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,AAA2013J,AAA2013J155984,-64.0,191.0
60,AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,AAA2013J,AAA2013J157568,-52.0,
61,AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,AAA2013J,AAA2013J159954,-46.0,123.0
62,AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,AAA2013J,AAA2013J164259,-64.0,
63,AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,AAA2013J,AAA2013J167906,-117.0,
64,AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,AAA2013J,AAA2013J168936,-32.0,
65,AAA,2013J,172112,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,AAA2013J,AAA2013J172112,-50.0,
66,AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,AAA2013J,AAA2013J172797,-45.0,
67,AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,AAA2013J,AAA2013J174782,-162.0,
68,AAA,2013J,175392,M,North Region,HE Qualification,,35-55,0,60,N,Pass,AAA2013J,AAA2013J175392,-195.0,
69,AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,AAA2013J,AAA2013J175932,-92.0,
70,AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,AAA2013J,AAA2013J175991,-57.0,
71,AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,AAA2013J,AAA2013J180753,-64.0,
72,AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,AAA2013J,AAA2013J181316,-39.0,60.0
73,AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,AAA2013J,AAA2013J183096,-128.0,
74,AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,AAA2013J,AAA2013J183947,-32.0,
75,AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,AAA2013J,AAA2013J184271,-74.0,
76,AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,AAA2013J,AAA2013J185439,-12.0,
77,AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,AAA2013J,AAA2013J186149,-109.0,
78,AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,AAA2013J,AAA2013J187100,-136.0,
79,AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,AAA2013J,AAA2013J188278,-57.0,60.0
80,AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,AAA2013J189879,-180.0,
81,AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,AAA2013J,AAA2013J192183,-62.0,
82,AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,AAA2013J,AAA2013J195262,-45.0,185.0
83,AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,AAA2013J,AAA2013J200860,-54.0,
84,AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,AAA2013J,AAA2013J202635,-73.0,166.0
85,AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,AAA2013J,AAA2013J205350,-68.0,
86,AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,AAA2013J,AAA2013J205719,-51.0,
87,AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,AAA2013J,AAA2013J227499,-169.0,
88,AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,AAA2013J,AAA2013J227517,-172.0,
89,AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,AAA2013J,AAA2013J228082,-31.0,
90,AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,AAA2013J,AAA2013J228222,-108.0,
91,AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,AAA2013J,AAA2013J229179,-165.0,
92,AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,AAA2013J,AAA2013J229361,-58.0,
93,AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,AAA2013J,AAA2013J231554,-29.0,
94,AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,AAA2013J,AAA2013J235507,-79.0,109.0
95,AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,AAA2013J,AAA2013J236284,2.0,
96,AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,AAA2013J,AAA2013J238007,-151.0,
97,AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,AAA2013J,AAA2013J240712,-45.0,
98,AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,AAA2013J240884,-47.0,
99,AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,AAA2013J,AAA2013J241649,-50.0,
100,AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,AAA2013J,AAA2013J241729,-31.0,
101,AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,AAA2013J,AAA2013J242793,-36.0,
102,AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,AAA2013J,AAA2013J246834,-16.0,
103,AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,AAA2013J,AAA2013J248270,-198.0,
104,AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,AAA2013J,AAA2013J255548,-103.0,
105,AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,AAA2013J,AAA2013J256815,-117.0,
106,AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,AAA2013J,AAA2013J258392,-68.0,
107,AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,AAA2013J,AAA2013J258894,-172.0,
108,AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,AAA2013J,AAA2013J260355,-186.0,170.0
109,AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,AAA2013J,AAA2013J262011,-145.0,
110,AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,AAA2013J,AAA2013J262934,-191.0,
111,AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,AAA2013J,AAA2013J268073,-33.0,
112,AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,AAA2013J,AAA2013J268733,-17.0,187.0
113,AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,AAA2013J,AAA2013J271251,-68.0,
114,AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,AAA2013J,AAA2013J277880,-108.0,177.0
115,AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,AAA2013J,AAA2013J279572,-138.0,
116,AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,AAA2013J,AAA2013J281022,-74.0,
117,AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,AAA2013J,AAA2013J281250,-64.0,
118,AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,AAA2013J,AAA2013J281589,-50.0,
119,AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,AAA2013J,AAA2013J282821,-107.0,
120,AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,AAA2013J,AAA2013J286488,-8.0,
121,AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,AAA2013J287548,-52.0,
122,AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,AAA2013J,AAA2013J290201,-96.0,
123,AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,AAA2013J,AAA2013J290757,-141.0,
124,AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,AAA2013J,AAA2013J291334,-132.0,
125,AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,AAA2013J,AAA2013J292923,-162.0,-121.0
126,AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,AAA2013J,AAA2013J293699,-27.0,
127,AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,AAA2013J,AAA2013J294570,-80.0,
128,AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,AAA2013J,AAA2013J294594,-145.0,
129,AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,AAA2013J,AAA2013J295741,-17.0,
130,AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,AAA2013J,AAA2013J296332,-115.0,
131,AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,AAA2013J,AAA2013J298696,-32.0,
132,AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,AAA2013J,AAA2013J300398,-59.0,
133,AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,AAA2013J,AAA2013J302302,-83.0,
134,AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,AAA2013J,AAA2013J305152,-18.0,
135,AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,AAA2013J,AAA2013J305386,-66.0,
136,AAA,2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,AAA2013J,AAA2013J305539,-54.0,-3.0
137,AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,AAA2013J,AAA2013J306107,-107.0,
138,AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,AAA2013J,AAA2013J306466,-58.0,
139,AAA,2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,AAA2013J,AAA2013J306897,-123.0,
140,AAA,2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass,AAA2013J,AAA2013J307061,-31.0,
141,AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,AAA2013J,AAA2013J307866,-107.0,
142,AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,AAA2013J,AAA2013J311917,-121.0,
143,AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,AAA2013J,AAA2013J312537,-79.0,
144,AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,AAA2013J,AAA2013J312782,-59.0,
145,AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,AAA2013J,AAA2013J318933,-100.0,
146,AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,AAA2013J,AAA2013J319047,-47.0,
147,AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,AAA2013J,AAA2013J321942,-67.0,
148,AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,AAA2013J,AAA2013J324002,-32.0,
149,AAA,2013J,324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,AAA2013J,AAA2013J324084,-165.0,
150,AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,AAA2013J324282,-32.0,
151,AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,AAA2013J,AAA2013J331358,-67.0,53.0
152,AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,AAA2013J,AAA2013J332789,-64.0,
153,AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,AAA2013J,AAA2013J333059,-103.0,
154,AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,AAA2013J,AAA2013J333323,-53.0,
155,AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,AAA2013J,AAA2013J334259,-32.0,
156,AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,AAA2013J,AAA2013J334333,-192.0,65.0
157,AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,AAA2013J,AAA2013J335764,-196.0,160.0
158,AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,AAA2013J336207,-110.0,
159,AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,AAA2013J,AAA2013J339972,-57.0,
160,AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,AAA2013J,AAA2013J341872,48.0,
161,AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,AAA2013J,AAA2013J342007,-71.0,51.0
162,AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,AAA2013J,AAA2013J342514,-81.0,
163,AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,AAA2013J,AAA2013J342972,-60.0,
164,AAA,2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,AAA2013J,AAA2013J343446,-49.0,
165,AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,AAA2013J,AAA2013J344282,-12.0,
166,AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,AAA2013J,AAA2013J345068,-37.0,
167,AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,AAA2013J,AAA2013J345357,-18.0,
168,AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,AAA2013J,AAA2013J346025,-75.0,
169,AAA,2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,AAA2013J,AAA2013J346843,-44.0,
170,AAA,2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,AAA2013J,AAA2013J350188,-49.0,
171,AAA,2013J,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,AAA2013J,AAA2013J354858,-32.0,5.0
172,AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,AAA2013J,AAA2013J357668,-38.0,
173,AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,AAA2013J,AAA2013J364177,-129.0,
174,AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,AAA2013J,AAA2013J365244,-38.0,
175,AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,AAA2013J,AAA2013J365642,-52.0,
176,AAA,2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,AAA2013J,AAA2013J366483,-4.0,
177,AAA,2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,AAA2013J,AAA2013J368194,-123.0,
178,AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,AAA2013J,AAA2013J368824,-60.0,
179,AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,AAA2013J,AAA2013J368963,-19.0,
180,AAA,2013J,376439,M,North Region,HE Qualification,,0-35,0,60,N,Distinction,AAA2013J,AAA2013J376439,-87.0,
181,AAA,2013J,376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,AAA2013J,AAA2013J376581,-64.0,
182,AAA,2013J,380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,AAA2013J,AAA2013J380953,-155.0,
183,AAA,2013J,383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,AAA2013J383254,-61.0,
184,AAA,2013J,386924,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass,AAA2013J,AAA2013J386924,-192.0,
185,AAA,2013J,386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,AAA2013J,AAA2013J386952,-38.0,
186,AAA,2013J,388722,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,AAA2013J,AAA2013J388722,-179.0,
187,AAA,2013J,388885,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,AAA2013J,AAA2013J388885,-185.0,
188,AAA,2013J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,AAA2013J,AAA2013J390890,-31.0,202.0
189,AAA,2013J,392756,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,AAA2013J,AAA2013J392756,-58.0,
190,AAA,2013J,392931,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,AAA2013J,AAA2013J392931,-54.0,
191,AAA,2013J,393207,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,AAA2013J,AAA2013J393207,-38.0,
